anonymous block completed
Checking 0104USTSIGCARD 0 1.8 
Checking 0104USTUSVSPINTR 0 1.97 
Checking 0104USTVEAIRCHPFLPIN 0 1.1 
Checking 0104USTVECHIPFULLPIN 0 1.1 
Checking 0104USTVEINTPREPS2000 0 1.1 
Checking 0104USTVESTANDARD 0 1.6 
Checking 0104SUPDBCT1 .19 .62 .35
Checking 0105DUCATFDC .17 .7 
Checking 0105DUCWHCCT3 .15 1.05 
Checking 0105DUSUPCT2 .15 .83 
Checking 0104UDMTRFR .1 0 
Checking 0104CPSAFDDBCAP .15 .8 
Checking 0105UWEMCCPURT1 0 1.6 
Checking 0105HCONPT1 0 1.6 
Checking 0105UCPURT1 0 1.35 
Checking 0105UENHCPURT1 0 1.35 
Checking 0105URPDSM .21 .05 
Checking 0104UCORPLVL2 .1 2.05 
Checking 08UTICR .75 0 
Checking 0104CPSCHR .05 1.35 
Checking 0105URPDSMT1 .22 .05 
Checking 0105UWMCCPURT1 0 1.45 
Checking 0104UCVNPTDB 0 1.31 
Checking 0104SMKTDBCAP .3 0 
Checking 0104CPTRCNP .1 1.7 
Checking 0104CPTRCP .1 1.7 
Checking 0104PULPA1 49.5 .7 
Checking 0104UBUSCPDB .1 1.7 
Checking 0104UBUSSDB .1 2.95 
Checking 0104UCORPELWD .1 2.95 
Checking 0104UCORPLVL3 .1 1.85 
Checking 0104PULPA2 52.5 .6 
Checking 0104PULPA3 55.5 .5 
Checking 0104PULPA4 58.5 .4 
Checking 0104UBUSCNPDB .1 2.45 
Checking 0104CPSPTDBCNP .15 1.7 
Checking 0104CPSPTDBCP .1 1.19 
Checking 0104CPSPTPPCNP .2 1.75 
Checking 0104CPSPTPPCP .15 1.15 
Checking 08PETPP .05 1.73 
Checking 08AVP3PP 0 1.75 
Checking 08BASECDNXFP .22 .05 
Checking 08COMBASNX .21 .05 
Checking 08COMBASNXFP .22 .05 
Checking 08AVP1CDNX 0 0 
Checking 08AVP2CDNX 0 0 
Checking 08AVP3CDNX 0 0 
Checking 08AVP1CONX 0 0 
Checking 08AVP1CONXFP 0 0 
Checking 08UTICDNX .21 .05 
Checking 08UTICDNXFP .22 .05 
Checking 08RSTCDNX .21 .05 
Checking 08RSTCDNXFP .22 .05 
Checking 08INSUCDNX .21 .05 
Checking 08INSUCDNXFP .22 .05 
Checking 08COMUTLNX .21 .05 
Checking 08COMUTLNXFP .21 .05 
Checking 08DEFCDNX 0 0 
Checking 08DEFCDNXFP 0 0 
Checking 08DEFCONX 0 0 
Checking 08DEFCONXFP 0 0 
Checking 08DAVPCONX 0 0 
Checking 08DAVPCONXFP 0 0 
Checking 0104USMKTPP .15 1.15 
Checking 0104UCPSSMTPP .05 1.6 
Checking 0104UCPSRTL2PP .15 .65 
Checking 0104UCPSRTLPP .15 1.15 
Checking 0104USTDPP .25 1.9 
Checking 0104UCPSAFDPP .15 1.15 
Checking 0104UCPSCNPPP .2 1.75 
Checking 0104UCPSECPREFPP .2 1.75 
Checking 0104UCPSECBASPP .2 1.75 
Checking 0104UCPSPTECPPP .2 1.75 
Checking 0104UCPSPTPP .2 1.75 
Checking 0104UCPSHTLCNPPP .2 1.75 
Checking 0104UCPSHTLCPPP .15 1.15 
Checking 0104UCPSHTLECPPP .2 1.75 
Checking 0104UCPSACCTFPP .2 1.8 
Checking 0104UCPSRTLKEPP .2 1.75 
Checking 0104UCPSREGSMT .22 .05 
Checking 0104USVCSTNPP .15 1.15 
Checking 0104URESTRNTPP .15 1.15 
Checking 0104UEIRFPP .2 1.8 
Checking 0104USCPSREG .22 .05 
Checking 0104UCPSDCRVO 0 0 
Checking 0104USTERREGDB .22 .05 
Checking 0105URPDFA .22 .05 
Checking 08AVP2CDNXFP 0 0 
Checking 08AVP1CDNXFP 0 0 
Checking 08AVP3CDNXFP 0 0 
Checking 0105USREWARD 0 0 
Checking 0104UCORPTVLS .1 2.55 
Checking 0104UPURTVLS .1 2.55 
Checking 08COMLRGTKT 20 .9 
Checking 08INTLCASHREIMB 3 .16 
Checking 08AVP1PP 0 2.07 
Checking 08AVP2PP 0 2.02 
Checking 08CASHREIMB -1.65 -.16 
Checking 08DAVPCDNX .21 .05 
Checking 08DAVPPP .1 2.95 
Checking 08DEFPP 0 2.07 
Checking 08ECOMPP .1 2.35 
Checking 08EMEPP .1 2.3 
Checking 08EXPPP 0 2.05 
Checking 08HOTPP .1 2.3 
Checking 08INSUPP .05 2.3 
Checking 08KEYPP .1 2.15 
Checking 08MIDPP .1 2.4 
Checking 08PASPP .1 2.3 
Checking 08PUBPP .1 1.55 
Checking 08RECPP .05 1.8 
Checking 08RESPP .1 2.3 
Checking 08RETPP .1 2.1 
Checking 08RSTPP .1 2.3 
Checking 08SUPPP .1 1.9 
Checking 08UTIPP .75 0 
Checking 0104CPSRTL2DBCAP .15 .65 
Checking 0104IPREM 0 1.8 
Checking 0104ISPREM 0 1.97 
Checking 0104UBUSENHB2B .1 2.25 
Checking 0104UCPSRTL2PPCAP .15 .65 
Checking 08RECCDNX .21 .05 
Checking 08RECCDNXFP .22 .05 
Checking 08SUPCDNX .21 .05 
Checking 08SUPCDNXFP .22 .05 
Checking 08EMECDNX .21 .05 
Checking 08EMECDNXFP .22 .05 
Checking 08PUBCDNX .21 .05 
Checking 08PUBCDNXFP .22 .05 
